Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"What I expected
  
",17.Dec.19,Yes,Very happy,0
5,"make sure to check from who you're buying from and seeing if its worth it
  
",18.Dec.19,Yes,everything is brand new,0
5,"It was a gift
  
",20.Dec.19,Yes,I have not it was a gift,0
1,,21.Dec.19,Yes,ESTA BLOQUEADOCARGADOR NO ORIGINAL,0
5,"Great deal
  
",21.Dec.19,Yes,Great deal for unlocked refurbished phone. Looked brand new out of the box except one minor scratch. Overall very pleased.,0
4,"a little scare but working fine great battery
  
",24.Dec.19,Yes,it had a little scratch a first but that didn't bother me. the first night I had it started to kinda froze but i had powered it off and the next day it was working fine besides that it has been working perfectly it has a great camera and face recondition seems to be working fine i was scared to buy it cause of all the bad reviews but I'm glad i bought. the battery life compared to my old phone is amazing i only charge it during the night and it lasts me the whole day.,0
1,"The battery is fully refurbished. I got a defective one otherwise it wad 5 stars.
  
",24.Dec.19,Yes,Worked great until it stopped charging.,0
5,"AMAZING
  
",26.Dec.19,Yes,an awesome phone! this is my first i phone,0
5,,26.Dec.19,Yes,Excelente artículo era lo que esperaba el cargador no es original pero el cellphone se encuentra en buen estado no tiene ningún defecto y efectivamente esta desbloqueado tanks very much,0
5,"Not a scam, go for it!!! Outstanding purchase!!!
  
",26.Dec.19,Yes,"Wow! I am literally speechless...my iPhone XR just arrived (a day early) and in less than 15 minutes I was ready to go.  The phone is spotless, not a scratch on it. Thank you Chubbiestech I could not be happier with my purchase. I highly recommend this seller and their product, I am amazed!!! Please note that I received a SIM removal tool with my phone, I had ordered one just in case but it came with the phone.",0
5,"Great product
  
",27.Dec.19,Yes,It arrived on time and my son loves it.,0
5,"Great condition
  
",27.Dec.19,Yes,My daughter just started using this phone and Everything is good so far,0
4,"Awesome product
  
",28.Dec.19,Yes,Best choice I_e ever made,0
5,"Cheap
  
",28.Dec.19,Yes,It_ what u would want,0
5,"Great Product
  
",28.Dec.19,Yes,Works well,0
5,"Great product
  
",29.Dec.19,Yes,My daughter loves it...,0
1,"Not satisfied!!!!!!
  
",30.Dec.19,Yes,"Not original charger, disappointed! No earbuds another big disapointment __________",0
5,"Perfect
  
",30.Dec.19,Yes,Perfect refurbish phone ever with no scratches and the battery life is like new!,0
5,"Phone quality
  
",31.Dec.19,Yes,Great phone,1
5,"Love the phone
  
",31.Dec.19,Yes,Love the phones might buy another one for myself,0
3,"Scratches on the screen
  
",31.Dec.19,Yes,Very deep scratches on screen.  However it works very well.,0
5,"PHONE WAS PERFECT
  
",1.Jan.20,Yes,Got this phone before Christmas it was perfect just like it was new and it still is perfect on 1/2/20.,0
5,"In love it
  
",3.Jan.20,Yes,In love w my new phone,0
3,,5.Jan.20,Yes,Vino con pinceles de la pantalla dañadosQuie cubre la garantía y que debo hacer,0
5,"price
  
",6.Jan.20,Yes,great,0
1,,6.Jan.20,Yes,"Nunca me llego tengo más de un mes pidiendo el reembolso y nada que me resuelven, son unos estafadores.",0
5,"Believe the hype
  
",6.Jan.20,Yes,Phone came like brand new with 2 iPhone cables and a charger. Absolutely worth every penny.,0
5,"Love the color
  
",7.Jan.20,Yes,Used it for two days now and so far I haven_ had  any problem,0
5,"__
  
",8.Jan.20,Yes,,0
